id,id_sim_goods
1,"19,494,495"
2,"3,300,19"
3,"2,300,299"
4,"159,353,343"
5,"308,184,438"
6,"184,438,268"
7,"403,104,437"
8,"220,262,255"
9,"417,469,474"
10,"425,13,135"
11,"419,465,388"
12,"402,428,284"
13,"135,74,344"
14,"166,279,232"
15,"16,485,480"
16,"15,485,480"
17,"13,425,135"
18,"171,172,21"
19,"494,1,495"
20,"340,488,487"
21,"172,20,487"
22,"360,497,359"
23,"175,22,497"
24,"441,443,440"
25,"176,277,446"
26,"36,491,68"
27,"452,28,453"
28,"27,452,453"
29,"454,214,187"
30,"92,100,146"
31,"437,436,464"
32,"463,462,500"
33,"51,129,368"
34,"32,463,462"
35,"282,473,179"
36,"26,491,322"
482,"37,481,483"
38,"39,378,279"
39,"38,404,419"
40,"357,358,126"
41,"288,170,491"
42,"421,94,430"
43,"427,44,402"
44,"427,43,59"
45,"46,409,224"
46,"409,45,92"
47,"203,279,87"
48,"238,396,69"
49,"134,50,42"
50,"439,134,55"
51,"33,129,368"
52,"444,115,43"
53,"342,472,55"
54,"368,55,50"
55,"472,403,368"
56,"397,372,491"
57,"349,25,176"
58,"64,63,65"
59,"44,16,480"
60,"20,340,487"
61,"413,18,171"
62,"180,469,309"
63,"58,64,65"
64,"58,63,65"
65,"433,432,58"
66,"474,475,230"
67,"212,424,382"
68,"26,491,347"
69,"319,238,396"
70,"395,100,157"
71,"72,470,73"
72,"334,73,491"
73,"335,72,334"
74,"13,135,145"
75,"77,361,195"
76,"125,225,189"
77,"361,75,195"
78,"451,225,358"
79,"80,339,81"
80,"339,79,148"
81,"148,457,79"
82,"380,378,381"
83,"394,84,389"
84,"394,83,389"
85,"197,86,274"
86,"85,197,141"
87,"260,200,265"
88,"260,265,200"
89,"90,266,407"
90,"407,89,266"
91,"127,24,441"
92,"395,146,100"
93,"456,486,104"
94,"430,42,421"
95,"73,347,98"
96,"281,364,210"
97,"209,147,450"
98,"491,347,72"
99,"137,142,422"
100,"92,146,325"
101,"123,30,127"
102,"239,73,144"
103,"56,116,491"
104,"403,436,31"
105,"378,263,264"
106,"264,378,263"
107,"351,212,382"
108,"109,390,391"
109,"108,390,392"
110,"392,391,108"
111,"48,65,433"
112,"400,343,213"
113,"114,420,398"
114,"113,420,398"
